,date,stock_id,HoldingSharesLevel,people,percent,unit
0,2024-09-06,2330,1-999,1087779,0.64,167863721
1,2024-09-06,2330,"1,000-5,000",376201,2.77,720377701
2,2024-09-06,2330,"5,001-10,000",43968,1.22,318136411
3,2024-09-06,2330,"10,001-15,000",14925,0.7,184054744
4,2024-09-06,2330,"15,001-20,000",6988,0.47,123543812
5,2024-09-06,2330,"20,001-30,000",6935,0.65,169956205
6,2024-09-06,2330,"30,001-40,000",3262,0.43,113246367
7,2024-09-06,2330,"40,001-50,000",1943,0.33,87837874
8,2024-09-06,2330,"50,001-100,000",3820,1.03,267168494
9,2024-09-06,2330,"100,001-200,000",1930,1.03,268651902
10,2024-09-06,2330,"200,001-400,000",1260,1.36,354063886
11,2024-09-06,2330,"400,001-600,000",532,1.0,260702019
12,2024-09-06,2330,"600,001-800,000",328,0.87,228123073
13,2024-09-06,2330,"800,001-1,000,000",210,0.73,189461570
14,2024-09-06,2330,"more than 1,000,001",1545,86.68,22480457068
15,2024-09-06,2330,差異數調整（說明4）,1,-0.0,-566
16,2024-09-06,2330,total,1551626,100.0,25933644281
17,2024-09-13,2330,1-999,1081244,0.64,167375496
18,2024-09-13,2330,"1,000-5,000",373245,2.75,715081263
19,2024-09-13,2330,"5,001-10,000",43741,1.22,316537415
20,2024-09-13,2330,"10,001-15,000",14876,0.7,183342422
21,2024-09-13,2330,"15,001-20,000",6976,0.47,123296574
22,2024-09-13,2330,"20,001-30,000",6947,0.65,170381265
23,2024-09-13,2330,"30,001-40,000",3236,0.43,112367611
24,2024-09-13,2330,"40,001-50,000",1940,0.33,87682497
25,2024-09-13,2330,"50,001-100,000",3806,1.02,265871060
26,2024-09-13,2330,"100,001-200,000",1942,1.04,270304731
27,2024-09-13,2330,"200,001-400,000",1256,1.36,352716937
28,2024-09-13,2330,"400,001-600,000",539,1.02,264537141
29,2024-09-13,2330,"600,001-800,000",316,0.84,219881022
30,2024-09-13,2330,"800,001-1,000,000",210,0.72,188932154
31,2024-09-13,2330,"more than 1,000,001",1546,86.74,22492076651
32,2024-09-13,2330,差異數調整（說明4）,4,-0.0,-3997
33,2024-09-13,2330,total,1541820,100.0,25930380242
34,2024-09-20,2330,1-999,1066869,0.63,165386275
35,2024-09-20,2330,"1,000-5,000",369156,2.72,707810502
36,2024-09-20,2330,"5,001-10,000",43404,1.21,314172948
37,2024-09-20,2330,"10,001-15,000",14801,0.7,182456372
38,2024-09-20,2330,"15,001-20,000",6935,0.47,122641623
39,2024-09-20,2330,"20,001-30,000",6918,0.65,169654813
40,2024-09-20,2330,"30,001-40,000",3231,0.43,112155841
41,2024-09-20,2330,"40,001-50,000",1931,0.33,87299535
42,2024-09-20,2330,"50,001-100,000",3804,1.02,265880581
43,2024-09-20,2330,"100,001-200,000",1932,1.03,268882603
44,2024-09-20,2330,"200,001-400,000",1253,1.35,351647631
45,2024-09-20,2330,"400,001-600,000",541,1.02,265060795
46,2024-09-20,2330,"600,001-800,000",314,0.84,218319411
47,2024-09-20,2330,"800,001-1,000,000",210,0.72,189120306
48,2024-09-20,2330,"more than 1,000,001",1552,86.8,22509894006
49,2024-09-20,2330,差異數調整（說明4）,2,-0.0,-3000
50,2024-09-20,2330,total,1522851,100.0,25930380242
51,2024-09-27,2330,1-999,1015398,0.6,157164478
52,2024-09-27,2330,"1,000-5,000",353432,2.61,677970693
53,2024-09-27,2330,"5,001-10,000",42173,1.17,305234703
54,2024-09-27,2330,"10,001-15,000",14462,0.68,178232927
55,2024-09-27,2330,"15,001-20,000",6835,0.46,120828982
56,2024-09-27,2330,"20,001-30,000",6812,0.64,166906744
57,2024-09-27,2330,"30,001-40,000",3200,0.42,111069677
58,2024-09-27,2330,"40,001-50,000",1898,0.33,85811777
59,2024-09-27,2330,"50,001-100,000",3769,1.01,263888200
60,2024-09-27,2330,"100,001-200,000",1909,1.02,266345120
61,2024-09-27,2330,"200,001-400,000",1250,1.35,350571548
62,2024-09-27,2330,"400,001-600,000",539,1.02,265036775
63,2024-09-27,2330,"600,001-800,000",316,0.84,219594743
64,2024-09-27,2330,"800,001-1,000,000",206,0.71,184959130
65,2024-09-27,2330,"more than 1,000,001",1558,87.06,22579136745
66,2024-09-27,2330,差異數調整（說明4）,4,-0.0,-19000
67,2024-09-27,2330,total,1453757,100.0,25932733242
68,2024-10-04,2330,1-999,1026686,0.61,158210518
69,2024-10-04,2330,"1,000-5,000",358224,2.64,686734849
70,2024-10-04,2330,"5,001-10,000",42634,1.18,308499806
71,2024-10-04,2330,"10,001-15,000",14585,0.69,179717950
72,2024-10-04,2330,"15,001-20,000",6868,0.46,121374894
73,2024-10-04,2330,"20,001-30,000",6864,0.64,168325416
74,2024-10-04,2330,"30,001-40,000",3230,0.43,112186652
75,2024-10-04,2330,"40,001-50,000",1914,0.33,86460721
76,2024-10-04,2330,"50,001-100,000",3783,1.01,264354832
77,2024-10-04,2330,"100,001-200,000",1908,1.02,265112364
78,2024-10-04,2330,"200,001-400,000",1263,1.36,353722766
79,2024-10-04,2330,"400,001-600,000",545,1.03,268200362
80,2024-10-04,2330,"600,001-800,000",310,0.82,215118295
81,2024-10-04,2330,"800,001-1,000,000",211,0.73,189750238
82,2024-10-04,2330,"more than 1,000,001",1552,86.97,22554964579
83,2024-10-04,2330,差異數調整（說明4）,1,-0.0,-1000
84,2024-10-04,2330,total,1470577,100.0,25932733242
85,2024-10-11,2330,1-999,1000001,0.59,154170699
86,2024-10-11,2330,"1,000-5,000",347503,2.57,666695030
87,2024-10-11,2330,"5,001-10,000",41762,1.16,302180574
88,2024-10-11,2330,"10,001-15,000",14415,0.68,177629292
89,2024-10-11,2330,"15,001-20,000",6765,0.46,119546686
90,2024-10-11,2330,"20,001-30,000",6780,0.64,166217995
91,2024-10-11,2330,"30,001-40,000",3216,0.43,111717717
92,2024-10-11,2330,"40,001-50,000",1899,0.33,85737094
93,2024-10-11,2330,"50,001-100,000",3761,1.01,262606011
94,2024-10-11,2330,"100,001-200,000",1912,1.02,265550338
95,2024-10-11,2330,"200,001-400,000",1252,1.35,350673584
96,2024-10-11,2330,"400,001-600,000",543,1.02,266908517
97,2024-10-11,2330,"600,001-800,000",312,0.83,216147032
98,2024-10-11,2330,"800,001-1,000,000",219,0.75,196859356
99,2024-10-11,2330,"more than 1,000,001",1551,87.11,22590099317
100,2024-10-11,2330,差異數調整（說明4）,4,-0.0,-6000
101,2024-10-11,2330,total,1431891,100.0,25932733242
102,2024-10-18,2330,1-999,969290,0.57,149312463
103,2024-10-18,2330,"1,000-5,000",341050,2.52,654487723
104,2024-10-18,2330,"5,001-10,000",41227,1.15,298597227
105,2024-10-18,2330,"10,001-15,000",14255,0.67,175598110
106,2024-10-18,2330,"15,001-20,000",6743,0.45,119157553
107,2024-10-18,2330,"20,001-30,000",6753,0.63,165562229
108,2024-10-18,2330,"30,001-40,000",3185,0.42,110610207
109,2024-10-18,2330,"40,001-50,000",1887,0.32,85179529
110,2024-10-18,2330,"50,001-100,000",3762,1.01,262789644
111,2024-10-18,2330,"100,001-200,000",1910,1.02,265315838
112,2024-10-18,2330,"200,001-400,000",1261,1.36,353435525
113,2024-10-18,2330,"400,001-600,000",545,1.03,269063429
114,2024-10-18,2330,"600,001-800,000",308,0.82,214371778
115,2024-10-18,2330,"800,001-1,000,000",215,0.74,193534389
116,2024-10-18,2330,"more than 1,000,001",1551,87.2,22615751598
117,2024-10-18,2330,差異數調整（說明4）,2,-0.0,-34000
118,2024-10-18,2330,total,1393942,100.0,25932733242
119,2024-10-25,2330,1-999,960910,0.56,147319215
120,2024-10-25,2330,"1,000-5,000",337223,2.49,647931196
121,2024-10-25,2330,"5,001-10,000",40892,1.14,296223356
122,2024-10-25,2330,"10,001-15,000",14153,0.67,174406522
123,2024-10-25,2330,"15,001-20,000",6711,0.45,118641299
124,2024-10-25,2330,"20,001-30,000",6737,0.63,165024973
125,2024-10-25,2330,"30,001-40,000",3181,0.42,110495161
126,2024-10-25,2330,"40,001-50,000",1894,0.32,85501551
127,2024-10-25,2330,"50,001-100,000",3759,1.01,262586941
128,2024-10-25,2330,"100,001-200,000",1909,1.02,265381189
129,2024-10-25,2330,"200,001-400,000",1265,1.36,353791243
130,2024-10-25,2330,"400,001-600,000",547,1.04,269911145
131,2024-10-25,2330,"600,001-800,000",321,0.86,224407805
132,2024-10-25,2330,"800,001-1,000,000",204,0.71,184470065
133,2024-10-25,2330,"more than 1,000,001",1541,87.25,22626650581
134,2024-10-25,2330,差異數調整（說明4）,2,-0.0,-9000
135,2024-10-25,2330,total,1381247,100.0,25932733242
136,2024-11-01,2330,1-999,970162,0.57,148669118
137,2024-11-01,2330,"1,000-5,000",340376,2.52,653557399
138,2024-11-01,2330,"5,001-10,000",41132,1.14,297795574
139,2024-11-01,2330,"10,001-15,000",14273,0.67,175900847
140,2024-11-01,2330,"15,001-20,000",6754,0.46,119355154
141,2024-11-01,2330,"20,001-30,000",6766,0.63,165777072
142,2024-11-01,2330,"30,001-40,000",3183,0.42,110618298
143,2024-11-01,2330,"40,001-50,000",1907,0.33,86144274
144,2024-11-01,2330,"50,001-100,000",3765,1.01,262934181
145,2024-11-01,2330,"100,001-200,000",1912,1.02,265348010
146,2024-11-01,2330,"200,001-400,000",1253,1.34,349991801
147,2024-11-01,2330,"400,001-600,000",556,1.05,273382543
148,2024-11-01,2330,"600,001-800,000",322,0.86,224449946
149,2024-11-01,2330,"800,001-1,000,000",204,0.71,184661357
150,2024-11-01,2330,"more than 1,000,001",1540,87.2,22614147668
151,2024-11-01,2330,差異數調整（說明4）,0,-0.0,0
152,2024-11-01,2330,total,1394105,100.0,25932733242
153,2024-11-08,2330,1-999,970382,0.57,148322489
154,2024-11-08,2330,"1,000-5,000",338195,2.5,649773135
155,2024-11-08,2330,"5,001-10,000",40990,1.14,296909361
156,2024-11-08,2330,"10,001-15,000",14199,0.67,174901899
157,2024-11-08,2330,"15,001-20,000",6751,0.46,119316109
158,2024-11-08,2330,"20,001-30,000",6755,0.63,165584753
159,2024-11-08,2330,"30,001-40,000",3170,0.42,110115940
160,2024-11-08,2330,"40,001-50,000",1884,0.32,84954421
161,2024-11-08,2330,"50,001-100,000",3756,1.01,261956666
162,2024-11-08,2330,"100,001-200,000",1915,1.02,265722845
163,2024-11-08,2330,"200,001-400,000",1258,1.35,351847831
164,2024-11-08,2330,"400,001-600,000",550,1.04,270386296
165,2024-11-08,2330,"600,001-800,000",322,0.86,223722924
166,2024-11-08,2330,"800,001-1,000,000",208,0.72,187922284
167,2024-11-08,2330,"more than 1,000,001",1539,87.23,22621297289
168,2024-11-08,2330,差異數調整（說明4）,1,-0.0,-1000
169,2024-11-08,2330,total,1391874,100.0,25932733242
170,2024-11-15,2330,1-999,978125,0.57,149401923
171,2024-11-15,2330,"1,000-5,000",342034,2.53,656539957
172,2024-11-15,2330,"5,001-10,000",41294,1.15,298973286
173,2024-11-15,2330,"10,001-15,000",14314,0.67,176262133
174,2024-11-15,2330,"15,001-20,000",6775,0.46,119695515
175,2024-11-15,2330,"20,001-30,000",6806,0.64,166792164
176,2024-11-15,2330,"30,001-40,000",3172,0.42,110157065
177,2024-11-15,2330,"40,001-50,000",1876,0.32,84622038
178,2024-11-15,2330,"50,001-100,000",3771,1.01,262826110
179,2024-11-15,2330,"100,001-200,000",1932,1.03,268169372
180,2024-11-15,2330,"200,001-400,000",1258,1.35,352665399
181,2024-11-15,2330,"400,001-600,000",550,1.04,270298370
182,2024-11-15,2330,"600,001-800,000",324,0.86,224674633
183,2024-11-15,2330,"800,001-1,000,000",204,0.7,184006784
184,2024-11-15,2330,"more than 1,000,001",1537,87.17,22607952593
185,2024-11-15,2330,差異數調整（說明4）,3,-0.0,-304000
186,2024-11-15,2330,total,1403972,100.0,25932733342
187,2024-11-22,2330,1-999,988505,0.58,151172015
188,2024-11-22,2330,"1,000-5,000",348086,2.57,667735646
189,2024-11-22,2330,"5,001-10,000",41955,1.17,303870299
190,2024-11-22,2330,"10,001-15,000",14448,0.68,177934111
191,2024-11-22,2330,"15,001-20,000",6874,0.46,121492237
192,2024-11-22,2330,"20,001-30,000",6839,0.64,167649738
193,2024-11-22,2330,"30,001-40,000",3212,0.43,111612424
194,2024-11-22,2330,"40,001-50,000",1881,0.32,84809621
195,2024-11-22,2330,"50,001-100,000",3782,1.01,263585092
196,2024-11-22,2330,"100,001-200,000",1929,1.03,267530212
197,2024-11-22,2330,"200,001-400,000",1266,1.36,354212596
198,2024-11-22,2330,"400,001-600,000",542,1.02,266258532
199,2024-11-22,2330,"600,001-800,000",321,0.85,222666580
200,2024-11-22,2330,"800,001-1,000,000",204,0.7,183551253
201,2024-11-22,2330,"more than 1,000,001",1543,87.1,22588652886
202,2024-11-22,2330,差異數調整（說明4）,0,-0.0,0
203,2024-11-22,2330,total,1421387,100.0,25932733242
204,2024-11-29,2330,1-999,1005788,0.59,153971326
205,2024-11-29,2330,"1,000-5,000",355335,2.62,681574630
206,2024-11-29,2330,"5,001-10,000",42645,1.19,308799331
207,2024-11-29,2330,"10,001-15,000",14607,0.69,179981314
208,2024-11-29,2330,"15,001-20,000",6908,0.47,122030475
209,2024-11-29,2330,"20,001-30,000",6947,0.65,170261971
210,2024-11-29,2330,"30,001-40,000",3222,0.43,111945756
211,2024-11-29,2330,"40,001-50,000",1903,0.33,85800998
212,2024-11-29,2330,"50,001-100,000",3793,1.02,264552890
213,2024-11-29,2330,"100,001-200,000",1923,1.02,266632343
214,2024-11-29,2330,"200,001-400,000",1256,1.35,351126244
215,2024-11-29,2330,"400,001-600,000",549,1.03,268725541
216,2024-11-29,2330,"600,001-800,000",318,0.85,221002298
217,2024-11-29,2330,"800,001-1,000,000",205,0.71,184510834
218,2024-11-29,2330,"more than 1,000,001",1538,87.0,22561917291
219,2024-11-29,2330,差異數調整（說明4）,1,-0.0,-100000
220,2024-11-29,2330,total,1446937,100.0,25932733242
221,2024-12-06,2330,1-999,985313,0.58,150985495
222,2024-12-06,2330,"1,000-5,000",344689,2.55,662347517
223,2024-12-06,2330,"5,001-10,000",41743,1.16,302355158
224,2024-12-06,2330,"10,001-15,000",14464,0.68,178299484
225,2024-12-06,2330,"15,001-20,000",6817,0.46,120431611
226,2024-12-06,2330,"20,001-30,000",6870,0.64,168330405
227,2024-12-06,2330,"30,001-40,000",3169,0.42,109990370
228,2024-12-06,2330,"40,001-50,000",1890,0.32,85273451
229,2024-12-06,2330,"50,001-100,000",3785,1.01,263880395
230,2024-12-06,2330,"100,001-200,000",1916,1.02,265208610
231,2024-12-06,2330,"200,001-400,000",1256,1.35,350418201
232,2024-12-06,2330,"400,001-600,000",552,1.04,270135361
233,2024-12-06,2330,"600,001-800,000",308,0.82,213775487
234,2024-12-06,2330,"800,001-1,000,000",214,0.73,191900784
235,2024-12-06,2330,"more than 1,000,001",1539,87.14,22599432913
236,2024-12-06,2330,差異數調整（說明4）,2,-0.0,-32000
237,2024-12-06,2330,total,1414525,100.0,25932733242
238,2024-12-13,2330,1-999,986695,0.58,150908361
239,2024-12-13,2330,"1,000-5,000",346026,2.56,664982166
240,2024-12-13,2330,"5,001-10,000",41870,1.16,303258308
241,2024-12-13,2330,"10,001-15,000",14495,0.68,178610236
242,2024-12-13,2330,"15,001-20,000",6875,0.46,121539020
243,2024-12-13,2330,"20,001-30,000",6897,0.65,169059501
244,2024-12-13,2330,"30,001-40,000",3164,0.42,109815869
245,2024-12-13,2330,"40,001-50,000",1913,0.33,86361457
246,2024-12-13,2330,"50,001-100,000",3774,1.01,263104281
247,2024-12-13,2330,"100,001-200,000",1913,1.02,265012351
248,2024-12-13,2330,"200,001-400,000",1255,1.35,350747917
249,2024-12-13,2330,"400,001-600,000",549,1.03,269089936
250,2024-12-13,2330,"600,001-800,000",310,0.82,215041505
251,2024-12-13,2330,"800,001-1,000,000",210,0.72,188376106
252,2024-12-13,2330,"more than 1,000,001",1533,87.13,22596826228
253,2024-12-13,2330,差異數調整（說明4）,0,-0.0,0
254,2024-12-13,2330,total,1417479,100.0,25932733242
255,2024-12-20,2330,1-999,979097,0.57,149554021
256,2024-12-20,2330,"1,000-5,000",341504,2.53,656646631
257,2024-12-20,2330,"5,001-10,000",41478,1.15,300437902
258,2024-12-20,2330,"10,001-15,000",14401,0.68,177467467
259,2024-12-20,2330,"15,001-20,000",6824,0.46,120581454
260,2024-12-20,2330,"20,001-30,000",6853,0.64,167996910
261,2024-12-20,2330,"30,001-40,000",3164,0.42,109851954
262,2024-12-20,2330,"40,001-50,000",1904,0.33,85908700
263,2024-12-20,2330,"50,001-100,000",3765,1.01,262807802
264,2024-12-20,2330,"100,001-200,000",1911,1.02,265022669
265,2024-12-20,2330,"200,001-400,000",1248,1.34,348392161
266,2024-12-20,2330,"400,001-600,000",549,1.03,268726589
267,2024-12-20,2330,"600,001-800,000",310,0.82,214309691
268,2024-12-20,2330,"800,001-1,000,000",210,0.72,188405998
269,2024-12-20,2330,"more than 1,000,001",1542,87.21,22616623293
270,2024-12-20,2330,差異數調整（說明4）,0,-0.0,0
271,2024-12-20,2330,total,1404760,100.0,25932733242
272,2024-12-27,2330,1-999,975870,0.57,149046385
273,2024-12-27,2330,"1,000-5,000",339572,2.51,653444013
274,2024-12-27,2330,"5,001-10,000",41380,1.15,299738609
275,2024-12-27,2330,"10,001-15,000",14332,0.68,176568060
276,2024-12-27,2330,"15,001-20,000",6827,0.46,120665820
277,2024-12-27,2330,"20,001-30,000",6827,0.64,167338942
278,2024-12-27,2330,"30,001-40,000",3163,0.42,109831378
279,2024-12-27,2330,"40,001-50,000",1900,0.33,85675172
280,2024-12-27,2330,"50,001-100,000",3766,1.01,263052301
281,2024-12-27,2330,"100,001-200,000",1900,1.01,263661496
282,2024-12-27,2330,"200,001-400,000",1253,1.35,350307728
283,2024-12-27,2330,"400,001-600,000",542,1.02,265264221
284,2024-12-27,2330,"600,001-800,000",314,0.83,217017070
285,2024-12-27,2330,"800,001-1,000,000",208,0.72,186780278
286,2024-12-27,2330,"more than 1,000,001",1540,87.24,22624403051
287,2024-12-27,2330,差異數調整（說明4）,1,-0.0,-61000
288,2024-12-27,2330,total,1399394,100.0,25932733524
289,2025-01-03,2330,1-999,977560,0.57,149080923
290,2025-01-03,2330,"1,000-5,000",341636,2.53,656737745
291,2025-01-03,2330,"5,001-10,000",41584,1.16,301321658
292,2025-01-03,2330,"10,001-15,000",14366,0.68,177001077
293,2025-01-03,2330,"15,001-20,000",6844,0.46,120986473
294,2025-01-03,2330,"20,001-30,000",6850,0.64,167935295
295,2025-01-03,2330,"30,001-40,000",3163,0.42,109835385
296,2025-01-03,2330,"40,001-50,000",1897,0.32,85535789
297,2025-01-03,2330,"50,001-100,000",3778,1.01,263845609
298,2025-01-03,2330,"100,001-200,000",1903,1.01,264033744
299,2025-01-03,2330,"200,001-400,000",1261,1.36,353831165
